id,exam_year,kind,number,section,start_page,end_page,num_alternatives,has_assets,num_assets,answer,answer_validation_status,answer_standard_available,extraction_method,extraction_status,warning_count,warnings
enade-2011-computing-q29,2011,multiple_choice,29,componente-especifico-comum-objetiva,17,17,5,False,0,A,validated,False,text_layer,verified,0,
enade-2011-computing-q30,2011,multiple_choice,30,componente-especifico-comum-objetiva,17,17,5,False,0,C,validated,False,text_layer,verified,0,
enade-2011-computing-q31,2011,multiple_choice,31,componente-especifico-objetiva,21,21,5,False,0,B,validated,False,text_layer,verified,0,
enade-2011-computing-q32,2011,multiple_choice,32,componente-especifico-objetiva,21,21,5,False,0,B,validated,False,text_layer,verified,0,
enade-2011-computing-q33,2011,multiple_choice,33,componente-especifico-objetiva,22,22,5,True,1,D,validated,False,text_layer,verified,0,
enade-2011-computing-q34,2011,multiple_choice,34,componente-especifico-objetiva,23,23,5,False,0,A,validated,False,text_layer,needs_review,1,1 figure region(s) fell after the alternatives cutoff and were excluded from the statement (unexpected layout - needs review)
enade-2011-computing-q35,2011,multiple_choice,35,componente-especifico-objetiva,23,23,5,True,1,D,validated,False,text_layer,verified,0,
enade-2011-computing-q36,2011,multiple_choice,36,componente-especifico-objetiva,24,24,5,False,0,D,validated,False,text_layer,verified,0,
enade-2011-computing-q37,2011,multiple_choice,37,componente-especifico-objetiva,24,24,5,False,0,D,validated,False,text_layer,verified,0,
enade-2011-computing-q38,2011,multiple_choice,38,componente-especifico-objetiva,25,25,5,True,7,E,validated,False,text_layer,verified,0,
enade-2011-computing-q39,2011,multiple_choice,39,componente-especifico-objetiva,25,25,5,False,0,D,validated,False,text_layer,verified,0,
enade-2011-computing-q40,2011,multiple_choice,40,componente-especifico-objetiva,25,25,5,True,1,B,validated,False,text_layer,verified,0,
enade-2011-computing-q41,2011,multiple_choice,41,componente-especifico-objetiva,26,26,5,True,1,A,validated,False,text_layer,verified,0,
enade-2011-computing-q42,2011,multiple_choice,42,componente-especifico-objetiva,26,26,5,False,0,C,validated,False,text_layer,verified,0,
enade-2011-computing-q43,2011,multiple_choice,43,componente-especifico-objetiva,27,27,5,True,1,D,validated,False,text_layer,verified,0,
enade-2011-computing-q44,2011,multiple_choice,44,componente-especifico-objetiva,28,28,5,True,3,,annulled,False,text_layer,verified,0,
enade-2011-computing-q45,2011,multiple_choice,45,componente-especifico-objetiva,29,29,5,True,1,B,validated,False,text_layer,verified,0,
enade-2011-computing-q46,2011,multiple_choice,46,componente-especifico-objetiva,30,30,5,False,0,A,validated,False,text_layer,verified,0,
enade-2011-computing-q47,2011,multiple_choice,47,componente-especifico-objetiva,30,30,5,False,0,D,validated,False,text_layer,verified,0,
enade-2011-computing-q48,2011,multiple_choice,48,componente-especifico-objetiva,31,31,5,True,1,C,validated,False,text_layer,verified,0,
enade-2011-computing-q49,2011,multiple_choice,49,componente-especifico-objetiva,31,31,5,False,0,B,validated,False,text_layer,verified,0,
enade-2011-computing-q50,2011,multiple_choice,50,componente-especifico-objetiva,31,31,5,False,0,A,validated,False,text_layer,verified,0,
