id,exam_year,kind,number,section,start_page,end_page,num_alternatives,has_assets,num_assets,answer,answer_validation_status,answer_standard_available,extraction_method,extraction_status,warning_count,warnings
enade-2008-computing-q36,2008,multiple_choice,36,cc-bacharelado-objetiva,15,15,5,False,0,A,validated,False,text_layer,extracted,0,
enade-2008-computing-q37,2008,multiple_choice,37,cc-bacharelado-objetiva,15,15,5,False,0,C,validated,False,text_layer,extracted,0,
enade-2008-computing-q41,2008,multiple_choice,41,engenharia-computacao-objetiva,18,18,5,False,0,C,validated,False,text_layer,verified,0,
enade-2008-computing-q42,2008,multiple_choice,42,engenharia-computacao-objetiva,18,18,5,False,0,D,validated,False,text_layer,extracted,0,
enade-2008-computing-q43,2008,multiple_choice,43,engenharia-computacao-objetiva,18,18,5,True,1,B,validated,False,text_layer,extracted,0,
enade-2008-computing-q44,2008,multiple_choice,44,engenharia-computacao-objetiva,19,19,5,False,0,,annulled,False,text_layer,verified,0,
enade-2008-computing-q45,2008,multiple_choice,45,engenharia-computacao-objetiva,19,19,5,True,1,E,validated,False,text_layer,needs_review,0,
enade-2008-computing-q46,2008,multiple_choice,46,engenharia-computacao-objetiva,20,20,5,True,1,D,validated,False,text_layer,verified,0,
enade-2008-computing-q47,2008,multiple_choice,47,engenharia-computacao-objetiva,20,20,5,False,0,C,validated,False,text_layer,extracted,0,
enade-2008-computing-q48,2008,multiple_choice,48,engenharia-computacao-objetiva,20,20,5,False,0,D,validated,False,text_layer,verified,0,
enade-2008-computing-q49,2008,multiple_choice,49,engenharia-computacao-objetiva,20,20,5,False,0,D,validated,False,text_layer,extracted,0,
enade-2008-computing-q50,2008,multiple_choice,50,engenharia-computacao-objetiva,21,21,5,True,1,A,validated,False,text_layer,needs_review,1,1 detected table(s) fell after the alternatives cutoff and were excluded from the statement (unexpected layout - needs review)
enade-2008-computing-q51,2008,multiple_choice,51,engenharia-computacao-objetiva,22,22,5,True,3,A,validated,False,text_layer,verified,0,
enade-2008-computing-q52,2008,multiple_choice,52,engenharia-computacao-objetiva,22,22,5,False,0,E,validated,False,text_layer,verified,0,
enade-2008-computing-q53,2008,multiple_choice,53,engenharia-computacao-objetiva,23,23,5,False,0,A,validated,False,text_layer,verified,0,
enade-2008-computing-q54,2008,multiple_choice,54,engenharia-computacao-objetiva,23,23,5,True,1,C,validated,False,text_layer,needs_review,2,empty statement after chrome/figure filtering; empty statement after chrome/figure filtering
enade-2008-computing-q56,2008,multiple_choice,56,engenharia-computacao-objetiva,24,24,5,False,0,B,validated,False,text_layer,extracted,0,
enade-2008-computing-q57,2008,multiple_choice,57,engenharia-computacao-objetiva,24,24,5,True,1,B,validated,False,text_layer,verified,0,
enade-2008-computing-q58,2008,multiple_choice,58,engenharia-computacao-objetiva,24,24,5,False,0,A,validated,False,text_layer,extracted,0,
enade-2008-computing-q61,2008,multiple_choice,61,sistemas-informacao-objetiva,27,27,5,False,0,B,validated,False,text_layer,verified,0,
enade-2008-computing-q62,2008,multiple_choice,62,sistemas-informacao-objetiva,27,27,5,True,1,B,validated,False,text_layer,needs_review,0,
enade-2008-computing-q63,2008,multiple_choice,63,sistemas-informacao-objetiva,27,27,5,True,1,C,validated,False,text_layer,needs_review,0,
enade-2008-computing-q64,2008,multiple_choice,64,sistemas-informacao-objetiva,28,28,5,True,1,A,validated,False,text_layer,verified,0,
enade-2008-computing-q65,2008,multiple_choice,65,sistemas-informacao-objetiva,28,28,5,False,0,C,validated,False,text_layer,verified,0,
enade-2008-computing-q66,2008,multiple_choice,66,sistemas-informacao-objetiva,28,28,5,False,0,E,validated,False,text_layer,extracted,0,
enade-2008-computing-q67,2008,multiple_choice,67,sistemas-informacao-objetiva,28,28,5,False,0,B,validated,False,text_layer,extracted,0,
enade-2008-computing-q68,2008,multiple_choice,68,sistemas-informacao-objetiva,29,29,5,False,0,A,validated,False,text_layer,needs_review,0,
enade-2008-computing-q69,2008,multiple_choice,69,sistemas-informacao-objetiva,30,30,5,True,1,A,validated,False,text_layer,verified,0,
enade-2008-computing-q70,2008,multiple_choice,70,sistemas-informacao-objetiva,30,30,5,False,0,C,validated,False,text_layer,extracted,0,
enade-2008-computing-q71,2008,multiple_choice,71,sistemas-informacao-objetiva,30,30,5,True,1,B,validated,False,text_layer,verified,0,
enade-2008-computing-q72,2008,multiple_choice,72,sistemas-informacao-objetiva,30,30,5,False,0,D,validated,False,text_layer,extracted,0,
enade-2008-computing-q73,2008,multiple_choice,73,sistemas-informacao-objetiva,31,31,5,True,1,D,validated,False,text_layer,verified,0,
enade-2008-computing-q74,2008,multiple_choice,74,sistemas-informacao-objetiva,31,31,5,False,0,A,validated,False,text_layer,extracted,0,
enade-2008-computing-q75,2008,multiple_choice,75,sistemas-informacao-objetiva,32,32,5,True,1,C,validated,False,text_layer,needs_review,2,empty statement after chrome/figure filtering; empty statement after chrome/figure filtering
enade-2008-computing-q76,2008,multiple_choice,76,sistemas-informacao-objetiva,32,32,5,False,0,D,validated,False,text_layer,extracted,0,
enade-2008-computing-q77,2008,multiple_choice,77,sistemas-informacao-objetiva,32,33,5,False,0,B,validated,False,text_layer,extracted,0,
enade-2008-computing-q78,2008,multiple_choice,78,sistemas-informacao-objetiva,33,33,5,False,0,B,validated,False,text_layer,extracted,0,
